TrialNo	MovNo	NbrCycles	X	Y	Z	Rz	Fx	Fx_control	Fy	Fy_control	Fz	Fz_control	TrigCam	Relative	Acc
1	1	1000	5.93	-15.93	0	0	0	0	0	0	0	0	0	1	100000
1	2	2322	5.93	-15.93	0	0	0	0	0	0	0	0	0	1	100000
1	3	900	5.93	-15.93	-15	0	0	0	0	0	0	0	0	1	100000
1	4	1000	5.93	-15.93	-15	0	0	0	0	0	0	0	0	1	100000
1	5	900	5.93	-15.93	0	0	0	0	0	0	0	0	0	1	100000
1	6	1000	-11.46	-15.16	0	0	0	0	0	0	0	0	0	1	100000
1	7	4650	-11.46	-15.16	0	0	0	0	0	0	0	0	0	1	100000
1	8	900	-11.46	-15.16	-15	0	0	0	0	0	0	0	0	1	100000
1	9	1000	-11.46	-15.16	-15	0	0	0	0	0	0	0	0	1	100000
1	10	900	-11.46	-15.16	0	0	0	0	0	0	0	0	0	1	100000
1	11	1000	-9.09	-11.93	0	0	0	0	0	0	0	0	0	1	100000
1	12	2079	-9.09	-11.93	0	0	0	0	0	0	0	0	0	1	100000
1	13	900	-9.09	-11.93	-15	0	0	0	0	0	0	0	0	1	100000
1	14	1000	-9.09	-11.93	-15	0	0	0	0	0	0	0	0	1	100000
1	15	900	-9.09	-11.93	0	0	0	0	0	0	0	0	0	1	100000
1	16	1000	10.54	3.16	0	0	0	0	0	0	0	0	0	1	100000
1	17	7384	10.54	3.16	0	0	0	0	0	0	0	0	0	1	100000
1	18	900	10.54	3.16	-15	0	0	0	0	0	0	0	0	1	100000
1	19	1000	10.54	3.16	-15	0	0	0	0	0	0	0	0	1	100000
1	20	900	10.54	3.16	0	0	0	0	0	0	0	0	0	1	100000
1	21	1000	4.8	17.35	0	0	0	0	0	0	0	0	0	1	100000
1	22	3180	4.8	17.35	0	0	0	0	0	0	0	0	0	1	100000
1	23	900	4.8	17.35	-15	0	0	0	0	0	0	0	0	1	100000
1	24	1000	4.8	17.35	-15	0	0	0	0	0	0	0	0	1	100000
1	25	900	4.8	17.35	0	0	0	0	0	0	0	0	0	1	100000
1	26	1000	-13.3	4.37	0	0	0	0	0	0	0	0	0	1	100000
1	27	2560	-13.3	4.37	0	0	0	0	0	0	0	0	0	1	100000
1	28	900	-13.3	4.37	-15	0	0	0	0	0	0	0	0	1	100000
1	29	1000	-13.3	4.37	-15	0	0	0	0	0	0	0	0	1	100000
1	30	900	-13.3	4.37	0	0	0	0	0	0	0	0	0	1	100000
1	31	1000	6.15	11.45	0	0	0	0	0	0	0	0	0	1	100000
